NU_ANO_CENSO,TP_RESPONSAVEL_REGULAMENTACAO,NO_ENTIDADE,NO_MUNICIPIO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,QT_MAT_INF_CRE
2021,3.0,ESCOLA MUNICIPAL PROFESSORA AIDA SANTOS E SILVA,Fortaleza,AVENIDA TRAJANO DE MEDEIROS,813,VICENTE PINZON,131.0
2021,3.0,ESCOLA MUNICIPAL ALBA FROTA,Fortaleza,AVENIDA DOM MANUEL,914,CENTRO,40.0
2021,3.0,ESCOLA MUNICIPAL ALMERINDA DE ALBUQUERQUE,Fortaleza,RUA ANA GONCALVES,1105,SAO JOAO DO TAUAPE,147.0
2021,3.0,ESCOLA MUNICIPAL ALVORADA,Fortaleza,RUA ANGRA DOS REIS,234,SAPIRANGA,118.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR ANISIO TEIXEIRA,Fortaleza,RUA GUARANI,355,PAUPINA,170.0
2021,3.0,ESCOLA MUNICIPAL ANTONIO DIOGO DE SIQUEIRA,Fortaleza,RUA ANSELMO NOGUEIRA,655,BONSUCESSO,165.0
2021,3.0,ESCOLA MUNICIPAL ANTONIO SALES,Fortaleza,RUA TAVARES IRACEMA,675,RODOLFO TEOFILO,95.0
2021,3.0,ESCOLA MUNICIPAL ARI DE SA CAVALCANTE,Fortaleza,AVENIDA H,430,PREFEITO JOSE WALTER,82.0
2021,3.0,ESCOLA MUNICIPAL AUTRAN NUNES,Fortaleza,RUA PROFESSOR VIRGILIO MORAIS,S N,AUTRAN NUNES,129.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA BELARMINA CAMPOS,Fortaleza,RUA DOUTOR MANOEL RODRIGUES MONTEIRO,840,VICENTE PINZON,133.0
2021,3.0,ESCOLA MUNICIPAL CASIMIRO JOSE DE LIMA FILHO,Fortaleza,AVENIDA FRANCISCO SA,6449,BARRA DO CEARA,131.0
